time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1000,1000,1000,-1000
1500,-1053,1053,1053,-1053
2000,-1105,1105,1105,-1105
2500,-1158,1158,1158,-1158
3000,-1211,1211,1211,-1211
3500,-1263,1263,1263,-1263
4000,-1316,1316,1316,-1316
4500,-1368,1368,1368,-1368
5000,-1421,1421,1421,-1421
5500,-1474,1474,1474,-1474
6000,-1526,1526,1526,-1526
6500,-1579,1579,1579,-1579
7000,-1632,1632,1632,-1632
7500,-1684,1684,1684,-1684
8000,-1737,1737,1737,-1737
8500,-1789,1789,1789,-1789
9000,-1842,1842,1842,-1842
9500,-1895,1895,1895,-1895
10000,-1947,1947,1947,-1947
10500,-2000,2000,2000,-2000
11000,-2053,2053,2053,-2053
11500,-2105,2105,2105,-2105
12000,-2158,2158,2158,-2158
12500,-2211,2211,2211,-2211
13000,-2263,2263,2263,-2263
13500,-2316,2316,2316,-2316
14000,-2368,2368,2368,-2368
14500,-2421,2421,2421,-2421
15000,-2474,2474,2474,-2474
15500,-2526,2526,2526,-2526
16000,-2579,2579,2579,-2579
16500,-2632,2632,2632,-2632
17000,-2684,2684,2684,-2684
17500,-2737,2737,2737,-2737
18000,-2789,2789,2789,-2789
18500,-2842,2842,2842,-2842
19000,-2895,2895,2895,-2895
19500,-2947,2947,2947,-2947
20000,-3000,3000,3000,-3000
20500,-1500,1500,1500,-1500
21000,0,0,0,0
