time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1000,1000,1000,-1000
1500,-1000,1000,1043,-1052
2000,-1000,1000,1086,-1103
2500,-1000,1000,1129,-1155
3000,-1000,1000,1172,-1207
3500,-1000,1000,1216,-1259
4000,-1000,1000,1259,-1310
4500,-1000,1000,1302,-1362
5000,-1000,1000,1345,-1414
5500,-1000,1000,1388,-1466
6000,-1000,1000,1431,-1517
6500,-1000,1000,1474,-1569
7000,-1000,1000,1517,-1621
7500,-1000,1000,1560,-1672
8000,-1000,1000,1603,-1724
8500,-1000,1000,1647,-1776
9000,-1000,1000,1690,-1828
9500,-1000,1000,1733,-1879
10000,-1000,1000,1776,-1931
10500,-1000,1000,1819,-1983
11000,-1000,1000,1862,-2034
11500,-1000,1000,1905,-2086
12000,-1000,1000,1948,-2138
12500,-1000,1000,1991,-2190
13000,-1000,1000,2034,-2241
13500,-1000,1000,2078,-2293
14000,-1000,1000,2121,-2345
14500,-1000,1000,2164,-2397
15000,-1000,1000,2207,-2448
15500,-1000,1000,2250,-2500
16000,-1000,1000,2293,-2552
16500,-1000,1000,2336,-2603
17000,-1000,1000,2379,-2655
17500,-1000,1000,2422,-2707
18000,-1000,1000,2466,-2759
18500,-1000,1000,2509,-2810
19000,-1000,1000,2552,-2862
19500,-1000,1000,2595,-2914
20000,-1000,1000,2638,-2966
20500,-1000,1000,2681,-3017
21000,-1000,1000,2724,-3069
21500,-1000,1000,2767,-3121
22000,-1000,1000,2810,-3172
22500,-1000,1000,2853,-3224
23000,-1000,1000,2897,-3276
23500,-1000,1000,2940,-3328
24000,-1000,1000,2983,-3379
24500,-1000,1000,3026,-3431
25000,-1000,1000,3069,-3483
25500,-1000,1000,3112,-3534
26000,-1000,1000,3155,-3586
26500,-1000,1000,3198,-3638
27000,-1000,1000,3241,-3690
27500,-1000,1000,3284,-3741
28000,-1000,1000,3328,-3793
28500,-1000,1000,3371,-3845
29000,-1000,1000,3414,-3897
29500,-1000,1000,3457,-3948
30000,-1000,1000,3500,-4000
30500,-500,500,1750,-2000
31000,0,0,0,0
