time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1000,1000,1000,-1000
1500,-1000,1000,1052,-1043
2000,-1000,1000,1103,-1086
2500,-1000,1000,1155,-1129
3000,-1000,1000,1207,-1172
3500,-1000,1000,1259,-1216
4000,-1000,1000,1310,-1259
4500,-1000,1000,1362,-1302
5000,-1000,1000,1414,-1345
5500,-1000,1000,1466,-1388
6000,-1000,1000,1517,-1431
6500,-1000,1000,1569,-1474
7000,-1000,1000,1621,-1517
7500,-1000,1000,1672,-1560
8000,-1000,1000,1724,-1603
8500,-1000,1000,1776,-1647
9000,-1000,1000,1828,-1690
9500,-1000,1000,1879,-1733
10000,-1000,1000,1931,-1776
10500,-1000,1000,1983,-1819
11000,-1000,1000,2034,-1862
11500,-1000,1000,2086,-1905
12000,-1000,1000,2138,-1948
12500,-1000,1000,2190,-1991
13000,-1000,1000,2241,-2034
13500,-1000,1000,2293,-2078
14000,-1000,1000,2345,-2121
14500,-1000,1000,2397,-2164
15000,-1000,1000,2448,-2207
15500,-1000,1000,2500,-2250
16000,-1000,1000,2552,-2293
16500,-1000,1000,2603,-2336
17000,-1000,1000,2655,-2379
17500,-1000,1000,2707,-2422
18000,-1000,1000,2759,-2466
18500,-1000,1000,2810,-2509
19000,-1000,1000,2862,-2552
19500,-1000,1000,2914,-2595
20000,-1000,1000,2966,-2638
20500,-1000,1000,3017,-2681
21000,-1000,1000,3069,-2724
21500,-1000,1000,3121,-2767
22000,-1000,1000,3172,-2810
22500,-1000,1000,3224,-2853
23000,-1000,1000,3276,-2897
23500,-1000,1000,3328,-2940
24000,-1000,1000,3379,-2983
24500,-1000,1000,3431,-3026
25000,-1000,1000,3483,-3069
25500,-1000,1000,3534,-3112
26000,-1000,1000,3586,-3155
26500,-1000,1000,3638,-3198
27000,-1000,1000,3690,-3241
27500,-1000,1000,3741,-3284
28000,-1000,1000,3793,-3328
28500,-1000,1000,3845,-3371
29000,-1000,1000,3897,-3414
29500,-1000,1000,3948,-3457
30000,-1000,1000,4000,-3500
30500,-500,500,2000,-1750
31000,0,0,0,0
