time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1500,1700,3500,-4000
1500,-1493,1690,3513,-4008
2000,-1485,1680,3525,-4015
2500,-1478,1670,3538,-4023
3000,-1470,1660,3550,-4030
3500,-1463,1650,3563,-4038
4000,-1455,1640,3575,-4045
4500,-1448,1630,3588,-4053
5000,-1440,1620,3600,-4060
5500,-1433,1610,3613,-4068
6000,-1425,1600,3625,-4075
6500,-1418,1590,3638,-4083
7000,-1410,1580,3650,-4090
7500,-1403,1570,3663,-4098
8000,-1395,1560,3675,-4105
8500,-1388,1550,3688,-4113
9000,-1380,1540,3700,-4120
9500,-1373,1530,3713,-4128
10000,-1365,1520,3725,-4135
10500,-1358,1510,3738,-4143
11000,-1350,1500,3750,-4150
11500,-1343,1490,3763,-4158
12000,-1335,1480,3775,-4165
12500,-1328,1470,3788,-4173
13000,-1320,1460,3800,-4180
13500,-1313,1450,3813,-4188
14000,-1305,1440,3825,-4195
14500,-1298,1430,3838,-4203
15000,-1290,1420,3850,-4210
15500,-1283,1410,3863,-4218
16000,-1275,1400,3875,-4225
16500,-1268,1390,3888,-4233
17000,-1260,1380,3900,-4240
17500,-1253,1370,3913,-4248
18000,-1245,1360,3925,-4255
18500,-1238,1350,3938,-4263
19000,-1230,1340,3950,-4270
19500,-1223,1330,3963,-4278
20000,-1215,1320,3975,-4285
20500,-1208,1310,3988,-4293
21000,-1200,1300,4000,-4300
21500,-1050,1138,3500,-3763
22000,-900,975,3000,-3225
22500,-750,813,2500,-2688
23000,-600,650,2000,-2150
23500,-450,488,1500,-1613
24000,-300,325,1000,-1075
24500,-150,163,500,-538
25000,0,0,0,0
