time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1000,1000,1000,-1000
1500,-1000,1000,1105,-1105
2000,-1000,1000,1211,-1211
2500,-1000,1000,1316,-1316
3000,-1000,1000,1421,-1421
3500,-1000,1000,1526,-1526
4000,-1000,1000,1632,-1632
4500,-1000,1000,1737,-1737
5000,-1000,1000,1842,-1842
5500,-1000,1000,1947,-1947
6000,-1000,1000,2053,-2053
6500,-1000,1000,2158,-2158
7000,-1000,1000,2263,-2263
7500,-1000,1000,2368,-2368
8000,-1000,1000,2474,-2474
8500,-1000,1000,2579,-2579
9000,-1000,1000,2684,-2684
9500,-1000,1000,2789,-2789
10000,-1000,1000,2895,-2895
10500,-1000,1000,3000,-3000
11000,-1000,1000,3105,-3105
11500,-1000,1000,3211,-3211
12000,-1000,1000,3316,-3316
12500,-1000,1000,3421,-3421
13000,-1000,1000,3526,-3526
13500,-1000,1000,3632,-3632
14000,-1000,1000,3737,-3737
14500,-1000,1000,3842,-3842
15000,-1000,1000,3947,-3947
15500,-1000,1000,4053,-4053
16000,-1000,1000,4158,-4158
16500,-1000,1000,4263,-4263
17000,-1000,1000,4368,-4368
17500,-1000,1000,4474,-4474
18000,-1000,1000,4579,-4579
18500,-1000,1000,4684,-4684
19000,-1000,1000,4789,-4789
19500,-1000,1000,4895,-4895
20000,-1000,1000,5000,-5000
20500,-500,500,2500,-2500
21000,0,0,0,0
