time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1700,1500,4000,-3800
1500,-1693,1495,4008,-3808
2000,-1685,1490,4015,-3815
2500,-1678,1485,4023,-3823
3000,-1670,1480,4030,-3830
3500,-1663,1475,4038,-3838
4000,-1655,1470,4045,-3845
4500,-1648,1465,4053,-3853
5000,-1640,1460,4060,-3860
5500,-1633,1455,4068,-3868
6000,-1625,1450,4075,-3875
6500,-1618,1445,4083,-3883
7000,-1610,1440,4090,-3890
7500,-1603,1435,4098,-3898
8000,-1595,1430,4105,-3905
8500,-1588,1425,4113,-3913
9000,-1580,1420,4120,-3920
9500,-1573,1415,4128,-3928
10000,-1565,1410,4135,-3935
10500,-1558,1405,4143,-3943
11000,-1550,1400,4150,-3950
11500,-1543,1395,4158,-3958
12000,-1535,1390,4165,-3965
12500,-1528,1385,4173,-3973
13000,-1520,1380,4180,-3980
13500,-1513,1375,4188,-3988
14000,-1505,1370,4195,-3995
14500,-1498,1365,4203,-4003
15000,-1490,1360,4210,-4010
15500,-1483,1355,4218,-4018
16000,-1475,1350,4225,-4025
16500,-1468,1345,4233,-4033
17000,-1460,1340,4240,-4040
17500,-1453,1335,4248,-4048
18000,-1445,1330,4255,-4055
18500,-1438,1325,4263,-4063
19000,-1430,1320,4270,-4070
19500,-1423,1315,4278,-4078
20000,-1415,1310,4285,-4085
20500,-1408,1305,4293,-4093
21000,-1400,1300,4300,-4100
21500,-1225,1138,3763,-3588
22000,-1050,975,3225,-3075
22500,-875,813,2688,-2563
23000,-700,650,2150,-2050
23500,-525,488,1613,-1538
24000,-350,325,1075,-1025
24500,-175,163,538,-513
25000,0,0,0,0
